0_yr_mean_spei,1_yr_mean_spei,2_yr_mean_spei,3_yr_mean_spei,system:index,plyID_g,ActnDsc,trtYear,post_fr,plyID_n,dat_src,trtID
-1.7119634548823037,-0.6223744352658588,0.7288584311803181,0.5239726006984711,0,1068,Planting/Transplanting; Seeding (primary); Seeding (secondary/shrub),2009,N,701,WRI,3194
-1.6960727977242698,-0.587523630436729,0.7650509047954476,0.5387004618657464,1,1069,Mowing; Anchor chain; Disc; Herbicide application,2009,N,702,WRI,"3195, 4066, 4245, 4422"
-1.9204753497067621,-1.3539000539218677,0.10028202524956534,-0.145205478896113,2,1073,Seeding (primary),2009,N,703,WRI,3198
-1.9255429371116084,-1.3653720936824367,0.07101680082989108,-0.17628442350122114,3,1073,Herbicide application; Disc; Prescribed fire; Mowing,2009,Y,704,WRI,"3196, 3197"
-1.53097050564479,-0.8825266535962577,0.2768403785385653,-0.6152136569793244,4,1077,Vegetation removal / hand crew,2008,N,705,WRI,3842
-1.5689155815483684,-0.5398759214909046,0.11201876706697723,-1.182308731141028,5,1080,Bullhog,2010,N,706,WRI,3261
-1.476350037749187,-0.081480580494687,0.6929629769472951,-0.6820679389621658,6,1081,Herbicide application; Seeding (primary),2008,N,707,WRI,3179
-1.4609898186110435,-0.28496083767807223,1.0484456163137517,0.18029674158451406,7,1082,Vegetation removal / hand crew,2009,N,708,WRI,3184
-1.61166900037772,-0.5368455715401353,0.32235427635481895,-0.3727328940363395,8,1083,Roller chopper; Seeding (primary),2008,N,709,WRI,3209
-1.6237170295555052,-0.23603660344075755,0.7461735716387004,0.020146195565452107,9,1084,Bullhog; Seeding (primary),2008,N,710,WRI,3183
-1.532970961325807,0.09729919708817382,0.7795441147408199,0.13852758506119575,10,1085,Harrow; Seeding (primary),2008,N,711,WRI,3210
-1.4873566637039186,-0.275272319316864,0.458544659614563,-0.45947616147994996,11,1086,Vegetation removal / hand crew,2009,N,712,WRI,3211
-1.4480016042937094,-0.38457208142351745,0.8409736010565687,0.11508526019196014,12,1090,Bullhog; Seeding (primary),2009,N,713,WRI,4450
-1.6378082036972046,-0.6817808151245117,0.523698627948761,-0.2657534182071686,13,1092,Herbicide application,2009,N,714,WRI,3163
