0_yr_mean_spei,1_yr_mean_spei,2_yr_mean_spei,3_yr_mean_spei,system:index,plyID_g,ActnDsc,trtYear,post_fr,plyID_n,dat_src,trtID
-1.6596583528193365,-0.45784805541192597,0.3614625787125027,0.1680598111966996,0,3196,Herbicide application; Seeding (primary); Chain harrow,2014,Y,1301,WRI,"4929, 4930, 4931"
-1.4767122268676758,-0.05561644211411476,0.9676712155342102,0.10123287886381149,1,3199,Disc,2015,N,1302,WRI,3035
-1.663699602642614,-0.15629297780703078,0.8601904735083237,-0.46730559507518965,2,3202,Seeding (primary),2014,N,1303,WRI,"4669, 4760"
-1.7675889968872072,-0.13994520902633667,1.128465747833252,0.79704110622406,3,3203,Seeding (primary),2014,Y,1304,WRI,4646
-1.4858903884887695,-0.12890410423278809,0.7621917724609375,-0.5694520473480225,4,3206,Anchor chain; Seeding (primary); Seeding (secondary/shrub),2014,Y,1305,WRI,"4593, 4594"
-1.741095781326294,-0.06013698875904083,0.8794520497322083,0.6556164026260376,5,3208,Seeding (primary),2014,N,1306,WRI,4663
-1.748830912476879,-0.49706175847578854,0.7105862634666895,0.2801427969993171,6,3210,Seeding (primary),2015,N,1307,WRI,4664
-1.7436012788694735,-0.6518300221890819,1.1216841332766474,-0.480513833007034,7,3214,Skid-steer mounted tree cutter; Seeding (primary),2015,N,1308,WRI,"4525, 4676, 4769"
-1.7345827239932436,-0.24927771091461184,1.0123661323027178,0.7734038865927494,8,3216,Seeding (primary); Planting/Transplanting,2016,N,1309,WRI,"3044, 3083, 5374"
-1.3197259902954102,0.03273972496390343,0.39424657821655273,-1.1836986541748047,9,3218,Seeding (primary),2014,N,1310,WRI,4756
-1.5924656391143799,-0.38671234250068665,0.8384931683540344,-0.09657534211874008,10,3224,Seeding (primary); Chain harrow,2014,N,1311,WRI,4615
-1.4163383646887178,0.06296652105009679,0.4796142088515417,-0.9221963038553997,11,3226,Vegetation removal / hand crew,2016,N,1312,WRI,2958
-1.5333392573641496,-0.7552873120679485,0.1349083771566292,-1.2975111503105663,12,3227,Vegetation removal / hand crew,2015,N,1313,WRI,5601
-1.5424656867980957,-0.21575342118740082,0.4798630177974701,0.043972600251436234,13,3233,Vegetation removal / hand crew,2016,N,1314,WRI,5437
-1.810220605504196,-1.0925784733443134,0.6152697242466749,-0.6307031042807925,14,3235,Prescribed fire,2017,N,1315,WRI,3033
-1.4621917009353638,-0.1836986243724823,0.6798630356788635,-0.30657535791397095,15,3243,Herbicide application,2016,N,1316,WRI,5311
-1.7211165375341617,-0.45110939883657597,0.746368431061438,0.159909162576459,16,3247,Bullhog; Seeding (primary),2016,N,1317,WRI,"5191, 5192"
-1.771689916176213,-0.6949069365185111,0.4932447608491684,0.09785181372559053,17,3249,Bullhog; Seeding (primary),2016,N,1318,WRI,"5286, 5287"
-0.7188814583789096,0.32438291004151815,0.9978253720851425,0.4532474190427249,18,3253,Vegetation removal / hand crew,2017,N,1319,WRI,4992
-1.6941906534626734,-0.5841218091799826,0.7684709159873174,0.5454628482434414,19,3259,Seeding (primary); Planting/Transplanting; Seeding (secondary/shrub); Prescribed fire,2016,N,1320,WRI,"5312, 5314, 5315, 5316, 5317, 5320, 5321, 5322, 5323, 5324, 5325, 5326, 5327, 5328, 5329, 5330, 5331"
-1.9100173106834075,-1.3264301472635411,0.05804538518996604,-0.19735330098600534,20,3268,Disc; Mowing; Harrow; Herbicide application; Planting/Transplanting,2016,N,1321,WRI,"2865, 5466, 5467, 5468"
-1.6374563944139269,-0.45339294724445905,1.0692067715359843,-0.2307471312765625,21,3279,Bullhog; Seeding (primary); Bulldozing,2016,N,1322,WRI,"2903, 5564"
-1.7427612919556466,-0.6523287672745555,1.0951982987554447,-0.4692790194561607,22,3281,Skid-steer mounted tree cutter; Seeding (primary),2016,N,1323,WRI,6603
-1.5456276774630513,0.15958633000395242,1.196397196529503,0.39646101538512046,23,3282,Bullhog,2016,N,1324,WRI,2872
-1.7994000089579616,-0.6032876536763948,0.40053850309602146,0.14430798590183258,24,3287,Planting/Transplanting; Harrow,2016,N,1325,WRI,"2946, 2947, 2948, 2949, 2950, 5887"
-1.5289200775392289,-0.14438233204506018,0.7761319482719505,-0.01051838560723937,25,3293,Bullhog,2016,N,1326,WRI,5310
-1.6353684311279462,-0.44261342106653734,0.4197006718590595,-1.024198881128198,26,3294,Seeding (primary); Bullhog,2016,N,1327,WRI,5340
-1.7903614564449926,-0.6877013714247963,0.7173779561757223,0.6076420342799315,27,3297,Disc; Seeding (primary); Seeding (secondary/shrub),2016,N,1328,WRI,"2973, 5308"
-1.5416997012897913,-0.2998324570335303,0.537314171756699,-0.08748823453366529,28,3300,Grazing management/changes,2016,N,1329,WRI,2875
-1.6847821685439308,-0.5474477756953409,0.4903581615880873,-0.9091780938155266,29,3304,Vegetation removal / hand crew,2016,N,1330,WRI,2880
-1.4875341653823853,-0.14753425121307373,0.5201370120048523,-0.98753422498703,30,3305,Planting/Transplanting; Seeding (primary),2015,N,1331,WRI,"5394, 5395"
-1.5593149662017822,-0.6502739787101746,0.39000001549720764,-1.0465753078460693,31,3307,Planting/Transplanting,2016,N,1332,WRI,3058
-1.575207575200831,-0.8230495852752797,0.2862419185418527,-1.0982039038417408,32,3308,Bullhog,2018,N,1333,WRI,6009
-1.476575255393982,-0.4026027321815491,0.8613698482513428,-0.5791780948638916,33,3312,Bullhog,2016,N,1334,WRI,2981
-1.5132151779073935,-0.7248498510855893,0.2328279841547975,-0.7575026234755148,34,3315,Bullhog,2016,N,1335,WRI,3096
-1.6202739477157593,-0.4287671148777008,0.7404109239578247,0.25013700127601624,35,3316,Bullhog; Herbicide application,2016,N,1336,WRI,"2921, 2922, 2923"
-1.5364765180991244,-0.16336406667072037,0.7794480919837952,-0.204386199466311,36,3321,Seeding (primary),2015,N,1337,WRI,2898
-1.5319164427913654,-0.5139281275379697,0.8688323327199441,0.7180945235049994,37,3329,Mowing; Seeding (primary),2015,N,1338,WRI,4832
-1.4563536834083126,-0.08220770765727144,0.3464360820791651,-1.0472639159506738,38,3330,Bullhog; Seeding (primary); Vegetation removal / hand crew,2016,N,1339,WRI,"2907, 2908"
-1.6034245491027832,-0.7571232914924622,0.4756164252758026,-0.7458903789520264,39,3336,Planting/Transplanting; Herbicide application,2016,N,1340,WRI,"5438, 5439"
-1.4975091487589018,-0.5090192200992029,1.0036832558716968,-0.16739726105066532,40,3341,Mowing,2015,N,1341,WRI,2995
-1.5396855370951938,-0.8292701434005391,0.4698921401634232,-0.33889098313044425,41,3343,Vegetation removal / hand crew,2017,N,1342,WRI,2909
