0_yr_mean_spei,1_yr_mean_spei,2_yr_mean_spei,3_yr_mean_spei,system:index,plyID_g,ActnDsc,trtYear,post_fr,plyID_n,dat_src,trtID
-1.7665906399488454,-0.5554250018336835,0.7432117041869042,0.1044081491776384,0,291,Harrow; Seeding (primary),2006,N,501,WRI,"3417, 3784"
-1.718488226088534,-0.8774078978034717,0.1885071847548333,-0.498026037174063,1,294,Seeding (primary),2006,N,502,WRI,4105
-1.4406849145889282,-0.6012328863143921,0.6389040946960449,-0.7219178080558777,2,295,Harrow; Seeding (primary); Disc,2006,N,503,WRI,"3343, 3706"
-1.5220961064662573,-0.08511501624477359,0.6223455909288154,-0.18843369902867188,3,296,Seeding (primary),2005,N,504,WRI,3744
-1.6058031247931848,-0.22204701940704744,0.8013233032966892,0.09485455322544248,4,299,Vegetation removal / hand crew,2005,N,505,WRI,3587
-1.7146574258804321,-0.6319178342819214,0.9636986255645752,-0.3304109573364258,5,301,Seeding (primary),2005,N,506,WRI,3383
-1.718630075454712,-0.6769862771034241,0.9276711940765381,-0.6697260141372681,6,302,Disc; Seeding (primary),2005,N,507,WRI,3745
-1.7142628466905054,-0.614316088050159,0.9190901669103707,-0.42788181687468907,7,304,Bulldozing; Seeding (primary),2005,N,508,WRI,3588
-1.6708219051361084,-0.5905479192733765,0.8708218932151794,-0.3380821943283081,8,305,Bulldozing; Seeding (primary),2005,N,509,WRI,3384
-1.7175341844558716,-0.9369862675666809,0.5279452204704285,-0.17561644315719604,9,306,Disc; Seeding (primary),2005,N,510,WRI,3746
-1.649999976158142,-0.7524657249450684,0.6961643695831299,-0.0024657545145601034,10,307,Disc; Seeding (primary),2005,N,511,WRI,3589
-1.5707469485763814,-0.35134722916488975,0.5482585713734315,-1.0987218788206747,11,313,Vegetation removal / hand crew; Bullhog,2007,N,512,WRI,"3565, 3717"
-1.625817513386142,-0.236160263020458,0.4363407705938537,-0.7012195794478705,12,316,Harrow; Seeding (primary),2007,N,513,WRI,3354
-1.4685654975306326,-0.3332471089106684,0.767667833162748,0.10016922985037403,13,317,Vegetation removal / hand crew,2006,N,514,WRI,3559
-1.518480623134574,-0.5104444703686903,0.2887786547817604,-1.059573932922741,14,319,Vegetation removal / hand crew,2007,N,515,WRI,3567
-1.609660055404319,-0.23903388434782957,0.6948743523063516,0.11172880658081598,15,321,Seeding (primary),2007,N,516,WRI,3143
-1.5358903408050537,-0.015479451976716518,0.9635616540908813,0.42397260665893555,16,323,Harrow; Seeding (primary); Mowing,2007,N,517,WRI,"3328, 3690"
-1.752900122937577,-0.5365329689413146,0.5755193068836276,0.3950485500402434,17,333,Disc; Seeding (primary),2006,N,518,WRI,3747
-1.3267041023718111,-0.6230698215122983,0.5698292930738642,-0.7580932947473789,18,334,Harrow; Seeding (primary),2006,N,519,WRI,"3346, 3556"
-1.6886301040649414,-0.38246574997901917,0.48794519901275635,-0.32972604036331177,19,337,Aerator; Seeding (primary),2005,N,520,WRI,3590
-1.4770306400023399,-0.6321553877205588,0.15255992475431412,-0.8287136297440157,20,338,Vegetation removal / hand crew,2008,N,521,WRI,3274
-1.6386300325393677,-1.236849308013916,-0.28999999165534973,-1.429589033126831,21,339,Vegetation removal / hand crew,2008,N,522,WRI,3273
-1.7148724217820008,-0.6784931436862821,1.150232827741336,-0.45669530828793836,22,340,Disc; Seeding (primary),2005,N,523,WRI,3386
-1.5378081798553467,-0.4158903956413269,0.3490411043167114,-0.3465753495693207,23,344,Bulldozing; Seeding (primary),2005,N,524,WRI,3749
