0_yr_mean_spei,1_yr_mean_spei,2_yr_mean_spei,3_yr_mean_spei,system:index,plyID_g,ActnDsc,trtYear,post_fr,plyID_n,dat_src,trtID
-1.4940092244318555,-0.8799951129726001,0.07571183913387358,-0.15800880747182028,0,2370,Seeding (primary); Seeding (secondary/shrub); Mowing,2012,N,1101,WRI,4201
-1.380931921612853,-0.17534094514361379,1.343625030028853,0.15635563416659337,1,2373,Anchor chain,2012,N,1102,WRI,4190
-1.5530802311657146,-0.5219233229863559,0.8424144853790888,0.4558427182461719,2,2374,Bullhog,2013,N,1103,WRI,4456
-1.5874297820752665,-1.1698867880528971,0.4657280055745955,-0.46079098601495067,3,2377,Disc; Seeding (primary),2013,N,1104,WRI,4730
-1.6573905305164618,-0.21313732280963804,0.4853457844838864,-0.4447610916160956,4,2378,Disc; Herbicide application; Seeding (primary); Seeding (secondary/shrub),2012,N,1105,WRI,4374
-1.5513697862625122,-0.46657535433769226,0.7478082180023193,-0.011780822649598122,5,2380,Planting/Transplanting,2013,N,1106,WRI,4044
-1.6641301939293363,-0.7789550376546773,0.6939326484177266,-0.40714159912066505,6,2383,Vegetation removal / hand crew,2013,N,1107,WRI,4202
-1.0646575689315796,-0.2915068566799164,0.3004109561443329,-0.7906849384307861,7,2398,Planting/Transplanting,2013,N,1108,WRI,4199
-1.5591896416889746,-1.065597085663623,0.4940555330891732,-0.27526538482835705,8,2400,Bullhog,2013,N,1109,WRI,4746
-1.4871232509613037,-0.39917808771133423,1.02493155002594,-0.32643836736679077,9,2425,Herbicide application; Seeding (primary); Seeding (secondary/shrub),2012,N,1110,WRI,4342
-1.7604186950411114,-0.33183562346867157,0.8644461802073887,0.845914672783443,10,2427,Harrow; Seeding (primary),2012,N,1111,WRI,4051
-1.591506838798523,-0.014246574603021145,0.9024657607078552,0.38205480575561523,11,2437,Mowing,2012,N,1112,WRI,3970
-1.7390410900115967,-1.0364383459091187,-0.051506854593753815,-0.4891780912876129,12,2439,Seeding (primary); Chain harrow,2012,Y,1113,WRI,4351
-1.4891780614852905,-0.45397260785102844,0.4913698732852936,-0.728904128074646,13,2443,Seeding (primary),2012,N,1114,WRI,4208
-1.6059318564154885,-0.05298582769227839,0.6536707537514821,-0.19573147969070448,14,2445,Chain harrow,2012,N,1115,WRI,4516
-1.6227396726608276,-1.094794511795044,-0.17232877016067505,-1.3365753889083862,15,2448,Seeding (primary),2012,N,1116,WRI,4167
-1.3712328672409058,-0.7850685119628906,-0.0663013681769371,-0.26397261023521423,16,2449,Seeding (primary),2013,N,1117,WRI,4693
