0_yr_mean_spei,1_yr_mean_spei,2_yr_mean_spei,3_yr_mean_spei,system:index,plyID_g,ActnDsc,trtYear,post_fr,plyID_n,dat_src,trtID
-1.499318343837087,-0.8873939267018948,0.05765452667525628,-0.1623755431756741,0,2018,Bullhog; Herbicide application,2011,N,1001,WRI,4144
-1.5126284534136454,-0.8524215524196622,0.22905315066377327,-0.6448852869669595,1,2020,Vegetation removal / hand crew,2011,N,1002,WRI,4343
-1.587844016273027,-0.24996749814969813,0.8045286898055087,0.20765778177292404,2,2026,Vegetation removal / hand crew,2012,N,1003,WRI,4164
-1.5576532282108486,-0.5763258512976557,0.7798174066079218,0.31184115940921536,3,2032,Herbicide application,2011,N,1004,WRI,4323
-1.6021683419623027,-0.6662479115695489,0.9457968444359012,-0.07098897355722218,4,2033,Herbicide application; Vegetation removal / hand crew,2012,N,1005,WRI,4145
-1.4564751883653495,-0.7258299269126013,-0.21330221680494454,-1.096657935289236,5,2037,Chain harrow; Seeding (primary),2012,N,1006,WRI,7056
-1.7520546913146973,-0.6258904337882996,0.5890411138534546,0.5364383459091187,6,2038,Disc; Seeding (primary),2011,N,1007,WRI,4324
-1.7018266090354006,-0.5518771485257067,0.8038295318242225,0.5623423233373986,7,2039,Seeding (primary),2011,N,1008,WRI,3982
-1.451537903436681,-0.09312738053807895,0.5545569059160568,-0.7528474231048958,8,2050,Herbicide application; Chain harrow,2011,N,1009,WRI,4120
-1.466775770629606,-0.5481018735676684,0.5624867298349898,-0.1928943829230404,9,2059,Vegetation removal / hand crew,2013,N,1010,WRI,4200
-1.368630051612854,-0.09178081899881363,0.5186301469802856,-0.7695890665054321,10,2061,Vegetation removal / hand crew,2012,N,1011,WRI,4129
-1.5694895574861776,-0.7016466837974953,0.82414764717982,-0.17718103153381123,11,2064,Seeding (primary),2012,Y,1012,WRI,4392
-1.6766437888145442,-0.6328082084655762,0.5275342613458633,0.32602739334106445,12,2070,Interseeding,2012,N,1013,WRI,3994
-1.6997933035991233,0.0013900721659425817,0.8509499196146356,0.5660138950973261,13,2074,Disc; Seeding (primary),2012,N,1014,WRI,4568
-1.7278081178665161,-1.0691781044006348,0.3390410840511322,-0.40493151545524597,14,2081,Anchor chain; Seeding (primary),2011,N,1015,WRI,4321
-1.5513697862625122,-0.46657535433769226,0.7478082180023193,-0.011780822649598122,15,2087,Planting/Transplanting,2012,N,1016,WRI,3995
-1.348767101764679,-0.002397261559963225,0.39883561432361603,-1.1724657416343687,16,2092,Seeding (primary),2011,N,1017,WRI,3889
-1.5643624945576053,-0.19155643948471301,0.9858931623385637,0.5212190960835277,17,2100,Bullhog; Seeding (primary),2012,N,1018,WRI,4435
-1.6119177352397813,-0.26739012848711163,0.6640123796025548,0.08794688105309775,18,2101,Bullhog,2011,N,1019,WRI,3949
-1.557495887215073,0.14270887067457577,1.1678686517852919,0.42283967701164454,19,2102,Bullhog,2012,N,1020,WRI,4138
-1.6430160581019888,-0.20245614386441416,0.5075894975871371,-0.41762795782925793,20,2106,Disc,2012,N,1021,WRI,4322
-1.4642465412616728,-0.7391095906496048,-0.017431505490094423,-0.656061664223671,21,2117,Seeding (primary),2012,N,1022,WRI,3983
-1.6017046107186208,-0.7581938129884224,0.47583458931357764,-0.7478538508768434,22,2141,Seeding (primary); Seeding (secondary/shrub),2011,N,1023,WRI,3482
-1.8313442003436209,-0.7917630134559259,0.7430337313714069,0.2972480224642328,23,2143,Greenstripping,2011,N,1024,WRI,4341
-1.807380672158866,-0.42700047893770815,0.9031814049030173,0.43477563303092437,24,2144,Greenstripping,2012,N,1025,WRI,4162
-1.9130136966705322,-1.0380821228027344,0.3971232771873474,-0.6830136775970459,25,2147,Planting/Transplanting,2011,N,1026,WRI,3879
-1.7154793739318848,-0.23999999463558197,0.7887670993804932,0.22109588980674744,26,2149,Seeding (primary),2011,N,1027,WRI,4136
-1.7585511897629047,-0.7727114816594228,0.7763625304604415,-0.47972616288105274,27,2150,Vegetation removal / hand crew; Anchor chain; Seeding (primary); Disc,2012,N,1028,WRI,"3957, 4303, 4304"
-1.3197259902954102,0.03273972496390343,0.39424657821655273,-1.1836986541748047,28,2159,Seeding (primary),2011,N,1029,WRI,3972
-1.445479393005371,-0.35410958528518677,0.5009589195251465,-0.1328767091035843,29,2160,Disc; Herbicide application; Seeding (primary),2012,N,1030,WRI,"4396, 4403"
-1.5250684022903442,-0.6402739882469177,0.41246575117111206,-0.0267123281955719,30,2169,Anchor chain; Herbicide application; Seeding (primary),2011,N,1031,WRI,"3961, 3984"
-1.6947944164276123,-0.6939725875854492,0.859315037727356,-0.5212329030036926,31,2170,Anchor chain,2011,N,1032,WRI,4340
-1.4971796877456434,-0.1392216647664706,1.0325546085834503,0.1384873300000574,32,2172,Anchor chain; Seeding (primary),2012,N,1033,WRI,"4337, 4732"
-1.6357533931732178,-0.4334246516227722,0.963150680065155,-0.4782191812992096,33,2173,Bullhog; Seeding (primary),2011,N,1034,WRI,3971
-1.6693566975386247,-0.4239464026430379,0.7029708141865938,-0.05650506570287373,34,2174,Seeding (primary),2012,Y,1035,WRI,3955
-1.5364383459091187,-0.5536985993385315,0.7395890355110168,0.06616438180208206,35,2175,Seeding (primary),2011,N,1036,WRI,3956
-1.6538355350494385,-0.5545205473899841,0.6902739405632019,-0.035342469811439514,36,2176,Harrow; Herbicide application; Seeding (primary); Seeding (secondary/shrub),2012,Y,1037,WRI,4301
-1.5860273838043213,-0.8295890092849731,0.2863013744354248,-1.0931507349014282,37,2177,Bullhog,2013,N,1038,WRI,4567
-1.6971232891082764,-0.6282191872596741,0.6531506776809692,0.1164383590221405,38,2178,Seeding (primary),2013,N,1039,WRI,4031
-1.5397260189056396,0.23342464864253998,0.6241095662117004,0.04753424599766731,39,2179,Vegetation removal / hand crew; Seeding (primary),2011,N,1040,WRI,4299
-1.7851929994062945,0.15830187141895297,1.2742381000518799,0.7990959009257229,40,2181,Seeding (primary); Chain harrow,2012,N,1041,WRI,4166
-1.616082966917812,-0.2832659690982044,0.6456774691543957,0.12202088903672623,41,2182,Herbicide application; Seeding (primary),2011,N,1042,WRI,3990
