0_yr_mean_ai,1_yr_mean_ai,2_yr_mean_ai,3_yr_mean_ai,system:index,plyID_g,ActnDsc,trtYear,post_fr,plyID_n,dat_src,trtID
1.162380337715149,0.9921017289161682,1.7361429929733276,1.2917439937591553,0,8935,Seeding,1997,Y,301,LTDL,24356
0.9017326844703331,0.6356208532255663,1.2278554777877029,1.1715133983121477,1,8955,Seeding,2007,Y,302,LTDL,24413
0.35173807249619404,0.29023338670913984,0.4138111350169549,0.28617675423622135,2,8977,Seeding,2000,Y,303,LTDL,24456
0.3942668765484004,0.37648450729665667,0.7348809076347518,0.4098222083819649,3,9006,Seeding,1995,Y,304,LTDL,24543
0.76830109780008,0.6873262268371934,0.9812644740210097,0.6492646425626906,4,9009,Seeding; Prescribed Burn,1992,N,305,LTDL,"24556, 24555"
0.5712833736530122,0.4317855674992589,0.5553047165055485,0.5386900563231286,5,9039,Vegetation/Soil Manipulation,2002,N,306,LTDL,24661
0.8680552576254725,0.9895529664756316,1.1610558054627054,0.6646129104144612,6,9067,Prescribed Burn,2001,N,307,LTDL,24718
0.7252379687983933,0.5682144608886245,0.6881496252137949,0.690741968912761,7,9068,Vegetation/Soil Manipulation; Seeding,2002,N,308,LTDL,"24721, 24722"
0.9046507390746237,0.5846100358197289,0.7567438657266381,0.9319688690839895,8,9109,Vegetation/Soil Manipulation,2007,N,309,LTDL,46629
0.5436684765096744,0.40469238258334106,0.8594424432002534,0.6248303087666514,9,9132,Seeding,1996,Y,310,LTDL,24844
0.634417496248089,0.5111537696894681,1.0372131596271164,0.7179198689516373,10,9133,Seeding; Vegetation/Soil Manipulation,2006,Y,311,LTDL,"24850, 24851"
0.4332844018936157,0.48889920115470886,0.6156907081604004,0.36327695846557617,11,9262,Seeding,1994,N,312,LTDL,25178
0.4672594150538167,0.5300639261959721,0.650290341099734,0.3745401481471995,12,9266,Prescribed Burn,1991,N,313,LTDL,25184
0.49629270447773893,0.31601497238773985,0.8203443933906184,0.39644902150952427,13,9279,Seeding,2007,Y,314,LTDL,25218
0.7590406087033206,0.7084462034507549,0.8590681815700902,0.5979925644182482,14,9302,Seeding,2004,N,315,LTDL,25282
0.47387292630758715,0.5739236866010868,0.7406267221121824,0.36547481266719123,15,9353,Herbicide/Weeds/Chemical,2011,N,316,LTDL,25407
0.28731874738757324,0.16152731974134335,0.5209396122236969,0.2624834360694697,16,9394,Seeding,2006,N,317,LTDL,25532
0.3320053112289133,0.33806235743530627,0.48426829720741005,0.39941213519242985,17,9399,Vegetation/Soil Manipulation,2005,N,318,LTDL,25548
0.5468159315580353,0.4737859567882734,0.674246588753239,0.4372336559278445,18,9406,Vegetation/Soil Manipulation,2004,N,319,LTDL,25558
0.5035623086465371,0.4387636804902875,0.7085768403233709,0.5442636447983819,19,9466,Seeding,1996,Y,320,LTDL,25732
1.6486298994975046,1.1917259950895567,1.7335442240173755,1.8939621921058174,20,9495,Vegetation/Soil Manipulation; Prescribed Burn,2011,N,321,LTDL,"25807, 25808, 25809"
0.7026079893112183,0.5196516513824463,1.0226738452911377,0.8013730645179749,21,9530,Seeding,2005,Y,322,LTDL,25883
0.3078645169734955,0.336119681596756,0.35215821862220764,0.3067304193973541,22,9637,Prescribed Burn; Vegetation/Soil Manipulation; Seeding; Herbicide/Weeds/Chemical,2001,N,323,LTDL,"26169, 26170, 26171, 26172"
0.8074964908243135,0.627371840804588,0.9219105917078849,0.7154355526880454,23,9706,Vegetation/Soil Manipulation,2011,N,324,LTDL,26347
0.8426615416768041,0.6554664293296724,0.9965761471171624,0.7676562450148843,24,9707,Vegetation/Soil Manipulation,2011,N,325,LTDL,26348
0.48196743995370994,0.45133984947055356,0.7259676244710346,0.641301671570642,25,9791,Biological Control,2013,N,326,LTDL,26566
0.4818567706748992,0.4511113509173385,0.7274284921746398,0.6421285968311184,26,9792,Herbicide/Weeds/Chemical,2010,N,327,LTDL,26567
0.39307547760842687,0.3803715717984719,0.5222165131973349,0.36575987826948975,27,9834,Seeding,1994,Y,328,LTDL,"26704, 26705"
0.4707037098913222,0.4123778563932284,0.7210402609150659,0.5099385234222775,28,9841,Seeding,2013,Y,329,LTDL,26717
0.3077989911992943,0.28020381405698735,0.3619498373683455,0.24969970236723674,29,9842,Seeding,1997,Y,330,LTDL,26723
0.7593732885432468,0.682561671752541,0.939647721739772,0.6561711184376832,30,9884,Prescribed Burn,1999,N,331,LTDL,26836
