0_yr_mean_spei,1_yr_mean_spei,2_yr_mean_spei,3_yr_mean_spei,system:index,plyID_g,ActnDsc,trtYear,post_fr,plyID_n,dat_src,trtID
-1.583225884410943,-1.1048395375125524,0.5412438979797196,-0.29466309771535876,0,4199,Chain harrow; Seeding (primary),2018,N,1501,WRI,7477
-1.7893149852752686,-0.7271232604980469,0.2926027476787567,0.11397260427474976,1,4210,Bullhog; Seeding (primary),2018,N,1502,WRI,6007
-1.6269825895247454,-0.4258867402491561,0.7783964799421468,-0.02907409975180549,2,4268,Seeding (primary); Anchor chain,2017,N,1503,WRI,6044
-1.506111786020324,-0.5381730659943237,0.1537484384897582,-0.4727992021074198,3,4322,Vegetation removal / hand crew; Bullhog; Seeding (primary),2018,N,1504,WRI,"6751, 6752, 6753"
-1.507556045768269,-0.8119881335287,0.42746073581847643,-0.7583313555614499,4,4323,Vegetation removal / hand crew,2018,N,1505,WRI,"6866, 8386"
-1.4979462318821635,0.04373365447914505,0.8199536799420046,-0.37002305739520047,5,4356,Herbicide application,2018,N,1506,WRI,6052
-1.4875341653823853,-0.14753425121307373,0.5201370120048523,-0.98753422498703,6,4363,Harrow; Seeding (primary),2017,N,1507,WRI,6072
-1.6587671041488647,-0.09027397632598877,0.9694520831108093,0.5365753173828125,7,4366,Herbicide application,2018,N,1508,WRI,7128
-1.547079969250985,-0.5487173148319481,0.7367441369015633,0.5934915110540162,8,4370,Seeding (primary); Seeding (secondary/shrub); Herbicide application,2017,N,1509,WRI,"7453, 7900"
-1.6934115239784584,-0.6142479781404695,0.3585604778125426,-0.3943204445440208,9,4378,Seeding (primary),2017,Y,1510,WRI,7157
-1.807373975889474,-0.9859363046953107,0.2640538897391646,-0.30457901617833516,10,4389,Seeding (primary),2017,N,1511,WRI,7158
-1.6762137354397384,-0.6114327516712127,0.9360520722436122,-0.31765550472697274,11,4390,Mowing; Herbicide application,2018,N,1512,WRI,7323
-1.7097949677665762,-0.6165992661610546,0.5274266686615529,0.014230027194791195,12,4391,Seeding (primary); Anchor chain,2017,N,1513,WRI,"6890, 6891"
-1.6010589936388981,-0.4666152703387856,0.4951716824497343,-0.17403157523127416,13,4394,Seeding (primary),2017,N,1514,WRI,6166
-1.505407673653347,-0.2858983833118189,1.1564265055864615,1.0704373112587326,14,4400,Anchor chain; Seeding (primary),2018,N,1515,WRI,6184
-1.7465752363204956,-0.28999999165534973,0.8863013386726379,1.0386301279067993,15,4408,Greenstripping; Seeding (primary); Harrow,2018,Y,1516,WRI,"7249, 7337"
-1.622244444604103,-0.19345100152377898,0.8557185089358915,0.9905077597269644,16,4409,Planting/Transplanting; Interseeding; Herbicide application; Seeding (primary),2017,Y,1517,WRI,"7332, 7333, 7334, 7335, 7336"
-1.7165397660298778,-0.6160996141758832,0.9920541457154535,-0.33429202776063566,17,4414,Vegetation removal / hand crew,2018,N,1518,WRI,6207
-1.741095781326294,-0.06013698875904083,0.8794520497322083,0.6556164026260376,18,4418,Seeding (primary),2018,N,1519,WRI,7143
-1.6015699115340356,-0.4934852147405899,0.7658154240774888,-0.04731497212951244,19,4433,Seeding (primary); Bullhog; Seeding (secondary/shrub),2018,N,1520,WRI,6242
-1.6897259950637817,-0.7468492984771729,0.525068461894989,-0.5939726233482361,20,4447,Herbicide application,2018,N,1521,WRI,"6269, 6270"
-1.5923984238975928,-0.4056620963832788,0.8837875629726211,0.12367699530563857,21,4448,Mowing; Herbicide application,2018,N,1522,WRI,"6268, 8188"
-1.558389657937874,-0.7313514008865518,0.7894732871298061,-0.6243351686303897,22,4450,Bullhog,2018,N,1523,WRI,8354
-1.5131939398614984,-0.06864455401113159,0.7167195269936011,-0.4125306465123829,23,4454,Seeding (primary); Seeding (secondary/shrub); Planting/Transplanting,2018,N,1524,WRI,"7471, 7472, 7473"
-1.5074261087861913,0.02983850905428398,0.8209728305557675,-0.3465788742596886,24,4459,Seeding (primary); Seeding (secondary/shrub); Land imprinter,2018,N,1525,WRI,"6303, 7504, 7505, 7506"
-1.494246482849121,-0.27657532691955566,0.5632876753807068,-0.01260274089872837,25,4464,Vegetation removal / hand crew,2018,N,1526,WRI,6280
-1.6239697931605446,-0.20521572045235834,0.42240723239404654,-0.717106443938012,26,4467,Chain harrow; Seeding (primary),2018,N,1527,WRI,6281
-1.4939725399017334,-0.30287671089172363,1.0957534313201904,0.19068492949008942,27,4489,Vegetation removal / hand crew,2018,N,1528,WRI,7497
-1.760704097468802,-0.5202099919002106,0.6195925207214151,0.21791124771884146,28,4524,Bullhog; Seeding (primary),2018,N,1529,WRI,6983
-1.5020856940041467,-0.6273736628897698,0.7641884391902345,-0.5815836064000363,29,4540,Seeding (primary),2018,N,1530,WRI,6975
-1.5143321052321732,-0.12441536017765632,0.5767975082370135,-0.328056675614122,30,4545,Herbicide application,2018,N,1531,WRI,8344
-1.734383463859558,-0.2582191824913025,0.9889041185379028,0.767808198928833,31,4572,Planting/Transplanting; Seeding (primary),2018,N,1532,WRI,"7656, 7657"
-1.6587671041488647,-0.09027397632598877,0.9694520831108093,0.5365753173828125,32,4598,Seeding (primary); Roller Packer,2018,N,1533,WRI,"8261, 8264"
-1.751083352349021,-0.2669738368554549,0.7122415981509468,0.3899501690810377,33,4605,Planting/Transplanting,2018,N,1534,WRI,8259
-1.5236985683441162,-0.1586301326751709,1.1128766536712646,-0.33424657583236694,34,4678,Seeding (primary),2018,N,1535,WRI,6962
-1.8131506443023682,-1.0017808675765991,0.24383561313152313,-0.43315067887306213,35,4679,Planting/Transplanting,2018,N,1536,WRI,7154
