0_yr_mean_ai,1_yr_mean_ai,2_yr_mean_ai,3_yr_mean_ai,system:index,plyID_g,ActnDsc,trtYear,post_fr,plyID_n,dat_src,trtID
0.48961458879488473,0.39750338336567825,0.8007771295529823,0.614028720944016,0,3639,Seeding (primary),2017,N,1401,WRI,"6216, 6217"
0.671630797990394,0.7266445421133434,0.9215143392218808,0.5263893694719833,1,3642,Vegetation removal / hand crew,2017,N,1402,WRI,4874
1.2944151163101196,1.3000186681747437,2.1205732822418213,1.6992696523666382,2,3648,Forestry practices; Vegetation removal / hand crew,2017,N,1403,WRI,4950
0.7511049509048462,0.6652508974075317,0.9688962697982788,0.7054717540740967,3,3652,Disc; Seeding (primary),2016,N,1404,WRI,6139
0.5573262572288513,0.5529430508613586,0.8348888158798218,0.7800702452659607,4,3653,Skid-steer mounted tree cutter; Excavating/Extraction,2018,N,1405,WRI,7062
0.816694027821063,0.4951640037703562,1.1506794498000348,0.6541524390339613,5,3655,Vegetation removal / hand crew,2016,N,1406,WRI,4906
0.5568101462213745,0.48771255313591805,0.961521216324571,0.8357399122708931,6,3656,Disc; Seeding (primary),2017,N,1407,WRI,"4905, 6218"
0.6728856960932413,0.5329480022192001,0.9754411478837332,0.6662867267926534,7,3670,Vegetation removal / hand crew; Herbicide application,2017,N,1408,WRI,"7374, 7375"
0.48862668752670285,0.4071021528376473,0.5442308169603347,0.36505729430251654,8,3673,Bullhog,2016,N,1409,WRI,5532
1.073333463923011,0.8523971688476742,1.3216360071922217,1.0881516006715444,9,3687,Vegetation removal / hand crew; Seeding (primary); Bullhog; Seeding (secondary/shrub),2017,N,1410,WRI,"6325, 6326"
0.5815357466538748,0.6283326526077427,0.7748302995753127,0.4602274610882714,10,3696,Seeding (primary); Bullhog; Seeding (secondary/shrub),2017,N,1411,WRI,4942
0.7073773767578003,0.6042630692867385,0.786872858666394,0.7197317076872475,11,3697,Skid-steer mounted tree cutter; Bullhog,2017,N,1412,WRI,4973
0.36215120457052213,0.4427347459444185,0.5884934935143323,0.2829994065005605,12,3702,Herbicide application,2017,N,1413,WRI,5072
0.4507448077201843,0.3943154811859131,0.6893704533576965,0.45501312613487244,13,3708,Seeding (primary); Bullhog; Seeding (secondary/shrub),2017,N,1414,WRI,5027
0.689379421505183,0.46568009238120245,0.8418137518488072,0.7428883485939957,14,3709,Herbicide application,2017,N,1415,WRI,6055
0.3657066822052002,0.3932551145553589,0.5949639081954956,0.4645778238773346,15,3712,Seeding (primary),2016,N,1416,WRI,4970
0.7460676345486638,0.5421580021150915,0.8732765330729884,0.814368489157756,16,3713,Bullhog; Seeding (primary),2017,N,1417,WRI,"5140, 5993"
0.3576717593938189,0.3767362951673408,0.7002679866699714,0.44947818023266173,17,3732,Herbicide application,2016,N,1418,WRI,6168
0.390520304441452,0.3853425681591034,0.5181877017021179,0.34756240248680115,18,3735,Seeding (primary),2017,N,1419,WRI,6251
0.24132708919809223,0.1968189165035778,0.40171608467526887,0.25520657557756343,19,3737,Bullhog; Seeding (primary); Chain harrow,2018,N,1420,WRI,"9233, 9234"
0.6188534999709477,0.7103445145242137,0.6370001064952387,0.5334060921639344,20,3742,Vegetation removal / hand crew,2016,N,1421,WRI,5529
0.3122165894996353,0.2547631591384174,0.30637638122714755,0.2900520749607979,21,3746,Seeding (primary); Herbicide application; Planting/Transplanting,2017,N,1422,WRI,6265
0.5034461657893151,0.45459344154818254,0.7559072696306602,0.5784120902102045,22,3757,Vegetation removal / hand crew; Herbicide application,2017,N,1423,WRI,"13853, 13854, 13855"
0.4597691059583731,0.25246732696714136,0.40796570403302607,0.3437238434557858,23,3761,Prescribed fire,2017,N,1424,WRI,5263
0.475360722343127,0.3793449302514394,0.7600861529509226,0.5879955808321634,24,3762,Planting/Transplanting,2017,N,1425,WRI,5063
1.0353925228118896,0.7243568897247314,1.1487032175064087,0.9073307514190674,25,3764,Vegetation removal / hand crew,2018,N,1426,WRI,"7042, 7043"
1.3185299846577767,1.2913831111581564,2.480712247532319,1.6905458561239395,26,3766,Vegetation removal / hand crew,2016,N,1427,WRI,6225
1.1536422265819246,1.1354045436426174,1.4932283901729466,1.4816577734391383,27,3767,Vegetation removal / hand crew,2017,N,1428,WRI,6635
0.5012717047620074,0.5260366960776659,0.7665285619764566,0.6246637724260419,28,3770,Vegetation removal / hand crew,2017,N,1429,WRI,7033
1.041157157433965,1.021397729125627,1.4511440555361728,1.6310012432924823,29,3771,Bullhog; Seeding (primary); Seeding (secondary/shrub),2017,N,1430,WRI,5182
1.0236172207764216,0.9430842740195138,1.5927324550492423,0.817540615797043,30,3773,Forestry practices,2017,N,1431,WRI,6073
0.48257074386962334,0.4781242326133609,0.5037827148956339,0.5515456985933175,31,3775,Vegetation removal / hand crew,2017,N,1432,WRI,6252
1.6145735066384077,1.3658195133320987,1.705196878639981,1.6492098984308543,32,3777,Herbicide application,2016,N,1433,WRI,8512
1.0922723365633673,1.2138238564859167,1.7067690159051154,1.3650426619061815,33,3781,Bullhog; Seeding (primary); Seeding (secondary/shrub); Vegetation removal / hand crew,2017,N,1434,WRI,"6370, 6371, 6555"
0.6875405166600199,0.5461465407982756,0.8916405687921295,0.7808224887921541,34,3789,Anchor chain; Seeding (primary),2016,N,1435,WRI,6157
0.5280919972344906,0.6067074738497281,0.5938795969216493,0.4630641839908858,35,3790,Vegetation removal / hand crew,2016,N,1436,WRI,"5176, 7035"
1.0565309432290848,0.7961288338142729,0.9687315159373815,0.8756473629720628,36,3794,Vegetation removal / hand crew; Mowing; Herbicide application,2018,N,1437,WRI,"7133, 7134, 7135"
0.7192529465289825,0.5505226900331156,0.851046778510769,0.9828379694089339,37,3795,Vegetation removal / hand crew; Bullhog; Seeding (primary),2017,N,1438,WRI,"5179, 5181"
0.7634232090579139,0.5600496446475004,0.964510548929883,0.9682426142896343,38,3797,Vegetation removal / hand crew; Herbicide application; Bullhog,2017,N,1439,WRI,"5999, 6002"
1.5306631326675415,1.1700520515441895,1.818089485168457,2.075650453567505,39,3798,Chain harrow; Mowing,2016,N,1440,WRI,"6331, 6332"
0.7265179519886737,0.6741416082307176,0.8811487851442991,0.6133275053926283,40,3822,Chain harrow,2016,N,1441,WRI,5523
0.8480695430448792,0.7091136487994688,0.8696888724658484,0.7918579232227837,41,3841,Bullhog,2016,N,1442,WRI,5296
0.5456785780412179,0.5759693821790691,0.7280661367642853,0.534334274548591,42,3853,Bullhog; Seeding (primary),2017,N,1443,WRI,5360
0.4922447014909475,0.49486261670514864,0.7026157782301548,0.4976748604218936,43,3854,Anchor chain; Seeding (primary),2017,N,1444,WRI,"5563, 7196"
1.1501821279525757,0.9807552695274353,1.4737826585769653,1.1804382801055908,44,3872,Chain harrow,2016,N,1445,WRI,6431
2.106469110219194,1.0953954915263564,2.330939067000898,1.2149751165517915,45,3876,Herbicide application; Mowing,2017,N,1446,WRI,"9070, 9071"
0.5388149805400404,0.4357744426203416,0.6155064030880352,0.5163036093316272,46,3877,Bullhog; Seeding (primary),2016,N,1447,WRI,5359
0.8007261946504693,0.6309551378277812,0.9524787907209485,0.7543653280280983,47,3883,Bullhog,2017,N,1448,WRI,5373
0.995351894645934,1.0002073797450703,1.7631005177831955,1.259991195930797,48,3887,Herbicide application,2018,N,1449,WRI,7268
1.008934021973219,0.8857097244653546,1.2342234732674773,0.9968064945252215,49,3890,Harrow,2016,N,1450,WRI,5399
0.7818965315818787,0.6202301979064941,1.044849157333374,0.9667428731918335,50,3891,Seeding (primary); Anchor chain,2016,N,1451,WRI,5400
0.4784492254257202,0.47304895520210266,0.6448103189468384,0.3853479325771332,51,3892,Chain harrow; Seeding (primary); Seeding (secondary/shrub),2016,N,1452,WRI,5414
0.7162114381790161,0.5919567942619324,0.9488861560821533,0.8312537670135498,52,3895,Seeding (primary); Chain harrow,2016,N,1453,WRI,"7707, 7708"
0.5234043332125977,0.3760101411506715,0.8564133389517364,0.6361991659349759,53,3899,Disc; Seeding (primary); Seeding (secondary/shrub); Land imprinter,2017,N,1454,WRI,6211
0.5629217028617859,0.43845126032829285,0.9246426224708557,0.779441773891449,54,3900,Harrow; Seeding (primary); Land imprinter,2017,Y,1455,WRI,5457
0.8492758277584523,0.7203775307711434,1.0080294872031492,1.1363102481645697,55,3904,Harrow,2016,N,1456,WRI,5485
1.13806696777994,0.7738223590634086,1.5534375364130195,0.8768747252496807,56,3907,Mowing; Herbicide application,2017,N,1457,WRI,6237
0.6354115009307861,0.6810533404350281,0.9583090543746948,0.8061237335205078,57,3910,Seeding (primary),2016,N,1458,WRI,5471
0.6305803656578064,0.6760411262512207,1.0384035110473633,0.5249158143997192,58,3912,Bullhog,2016,N,1459,WRI,6086
0.4672118127346039,0.40973761677742004,0.6635555028915405,0.60975581407547,59,3914,Seeding (primary); Seeding (secondary/shrub),2017,N,1460,WRI,5784
0.729920393628518,0.6552451930948348,1.2165164930461132,0.9054510429485141,60,3917,Vegetation removal / hand crew; Anchor chain,2018,N,1461,WRI,"5903, 6079"
0.5699957667436817,0.47233137630281,0.7522717157103365,0.7395580121150294,61,3924,Seeding (primary); Anchor chain; Seeding (secondary/shrub),2017,N,1462,WRI,6230
0.7898249767667097,0.548620232896839,1.2295249966408708,0.631472190292619,62,3932,Bullhog; Seeding (primary); Mowing; Herbicide application,2018,N,1463,WRI,"6238, 6239"
0.589728331183776,0.5717953523000081,1.204337076193247,0.49394112225526415,63,3939,Vegetation removal / hand crew,2017,N,1464,WRI,"5516, 5517"
0.34906241297721863,0.23285850882530212,0.42789506912231445,0.3393988311290741,64,3941,Planting/Transplanting,2018,N,1465,WRI,7142
1.1593023538589478,0.8942036628723145,1.3278430700302124,1.3237413167953491,65,3950,Bullhog,2018,N,1466,WRI,5607
0.6101264268031958,0.6109860130134057,0.6391287183812759,0.5096002153316792,66,3961,Vegetation removal / hand crew; Bullhog; Seeding (primary),2018,N,1467,WRI,"5642, 5643"
0.32757054419356246,0.3085027762232699,0.4199322986428688,0.31022629842769167,67,3966,Bullhog; Seeding (primary); Seeding (secondary/shrub),2017,N,1468,WRI,5562
0.3603705584198208,0.393760008516514,0.6843780567698907,0.42163702917420876,68,3968,Vegetation removal / hand crew,2018,N,1469,WRI,8327
1.3933763898158724,1.4615655303122672,2.7294210002720654,1.9386602370930588,69,3979,Vegetation removal / hand crew,2017,N,1470,WRI,5734
0.6323230394198304,0.557962149177977,1.2532299561489688,0.8494217212488004,70,4004,Disc; Harrow; Seeding (primary); Herbicide application; Planting/Transplanting,2018,N,1471,WRI,"6311, 6314, 7274, 7275, 7276, 7277, 7278, 7279, 7280, 7281, 7282, 7283, 7284, 7285, 7286, 7287, 7288, 7289, 7290, 7291, 7292"
0.2509211599826813,0.2888121008872986,0.34656453132629395,0.24038296937942505,71,4009,Planting/Transplanting,2018,N,1472,WRI,7435
0.48536715636958927,0.4351920998086983,0.8276995088528715,0.38724389579813917,72,4024,Bullhog; Seeding (primary); Chain harrow,2017,N,1473,WRI,"5803, 5805, 6006"
1.264962853167829,1.2772689675945403,1.2645158926787328,0.9597433203055763,73,4034,Bullhog,2018,N,1474,WRI,8228
1.0195633257278285,0.6853582078072242,1.0619315729512795,1.2577518384694018,74,4036,Bullhog,2018,N,1475,WRI,5684
1.075742441874284,0.9262785040415249,1.567183902630439,1.4299919100908134,75,4040,Herbicide application; Seeding (primary),2018,N,1476,WRI,7193
0.9011701469969859,0.6525639473272601,1.0833266366255674,1.0735681622241025,76,4041,Bullhog; Seeding (primary); Seeding (secondary/shrub),2017,N,1477,WRI,"7123, 7124"
1.5838167667388916,0.7395581007003784,1.317469596862793,1.1951185464859009,77,4043,Prescribed fire,2018,N,1478,WRI,8443
0.9064615368843079,0.8325516581535339,1.7161740064620972,1.1762821674346924,78,4048,Seeding (primary),2018,N,1479,WRI,7084
0.8502765745813283,0.8173248827101935,1.2829978951876966,1.1336959403741431,79,4059,Planting/Transplanting,2018,N,1480,WRI,5720
0.5221199971285596,0.4259271990911216,0.7079045465038079,0.6915183329278495,80,4067,Bullhog; Seeding (primary),2018,N,1481,WRI,"7105, 7107"
0.7230946016967846,0.6419182157297748,1.0148787870319613,0.8394507951692708,81,4075,Seeding (primary); Harrow; Disc; Mowing,2018,N,1482,WRI,"7258, 7259, 7260, 7261, 7262, 7263, 7264, 7265, 7266, 7267"
1.680788173219337,1.1794796352505956,1.719558467354481,2.05298385533222,82,4078,Prescribed fire,2018,Y,1483,WRI,8394
0.8119631409645081,0.715920627117157,1.6918777227401733,1.3995896577835083,83,4079,Seeding (primary),2018,N,1484,WRI,7182
