0_yr_mean_spei,1_yr_mean_spei,2_yr_mean_spei,3_yr_mean_spei,system:index,plyID_g,ActnDsc,trtYear,post_fr,plyID_n,dat_src,trtID
-1.3171611639886416,-0.6017242722722919,0.09022701231774902,-0.2552190850388733,0,7594,Vegetation/Soil Manipulation,2005,N,251,LTDL,20736
-1.5172762386431722,-0.3892464518878809,0.8121628145339981,-0.2173830301177745,1,7595,Vegetation/Soil Manipulation; Seeding,2003,N,252,LTDL,"20737, 20738, 20739"
-1.5181191094783175,-0.36302164101801004,0.8207251112501159,-0.16773235864248598,2,7596,Prescribed Burn; Seeding,2000,N,253,LTDL,"20740, 20741"
-1.4398583284159738,-0.23712870341596667,0.9174532661692134,0.05067780737546644,3,7599,Seeding; Vegetation/Soil Manipulation,1999,Y,254,LTDL,"20746, 20747, 20748"
-1.6528086076542425,-0.2689864062873965,0.591895970296036,0.13817684938719998,4,7653,Prescribed Burn,2003,Y,255,LTDL,20882
-1.5700806944009553,-0.24593971901473907,0.7229670578353083,0.13806806287828507,5,7654,Seeding,2001,Y,256,LTDL,20883
-1.680141398417715,-0.6172123596262131,0.33011571439641385,-1.1208087624431624,6,7693,Vegetation/Soil Manipulation,2005,N,257,LTDL,21016
-1.6291353570756002,-0.42993666583569207,0.7748165280375648,-0.03372203609227535,7,7715,Vegetation/Soil Manipulation; Seeding,2013,N,258,LTDL,"21096, 21098"
-1.128904104232788,-0.27794522047042847,0.9506849646568298,0.8838356137275696,8,7749,Seeding,2007,N,259,LTDL,21189
-1.6707156662633467,-0.89125654995916,0.8015249312208717,-0.38122284554751823,9,7764,Seeding; Vegetation/Soil Manipulation,1994,Y,260,LTDL,"21246, 21247"
-1.8990976203878016,-0.06440680044910511,1.4119502853589008,0.8287574455089365,10,7897,Vegetation/Soil Manipulation; Seeding,2002,N,261,LTDL,"21653, 21654"
-1.910821795463562,-0.06972602754831314,1.392054796218872,0.7710959315299988,11,7898,Prescribed Burn,2003,N,262,LTDL,21656
