0_yr_mean_spei,1_yr_mean_spei,2_yr_mean_spei,3_yr_mean_spei,system:index,plyID_g,ActnDsc,trtYear,post_fr,plyID_n,dat_src,trtID
-1.695391115369551,-0.5994020338241021,1.0513088457470512,0.719796546239699,0,20579,Seeding; Vegetation/Soil Manipulation,2012,Y,451,LTDL,"51162, 51163"
-1.4827978130148236,-0.5793616790480973,0.011398631562831047,-0.6502480504392576,1,22147,Seeding,2012,N,452,LTDL,58268
-1.54438276533137,-0.21012159934974606,0.4760816087697278,0.04281297840058484,2,17,Herbicide application,2006,N,453,WRI,3731
-1.6560273170471191,-0.5312328934669495,0.6441096067428589,0.1504109650850296,3,19,Disc; Planting/Transplanting; Seeding (primary),2005,N,454,WRI,3575
-1.5568401045437101,-0.3081567559438416,0.8857281072984771,-0.23077111889289909,4,24,Aerator; Seeding (primary),2005,N,455,WRI,"3371, 3580, 3736"
-1.6345796765313036,-0.27043521758289624,0.6240290989113679,-0.1962617250082946,5,26,Aerator; Herbicide application; Interseeding; Seeding (secondary/shrub); Seeding (primary),2005,N,456,WRI,"3441, 3811"
-1.5034318432699827,-0.075980468805626,0.7899934287635746,-0.4479572806010019,6,28,Vegetation removal / hand crew; Bullhog,2006,N,457,WRI,"3569, 3722"
-1.5067123174667358,-0.1328767091035843,0.33657532930374146,-1.1295890808105469,7,29,Anchor chain; Herbicide application; Seeding (primary),2006,N,458,WRI,3554
-1.764614157235643,-0.6765872723769141,0.484087362027293,0.15347987722872022,8,30,Bullhog; Seeding (primary); Harrow,2005,N,459,WRI,"3365, 3574, 3729"
-1.4475831699104948,-0.3616300581553795,0.48898830427137846,-0.13039258942424253,9,32,Roller chopper; Seeding (primary); Seeding (secondary/shrub),2007,N,460,WRI,3341
-1.6575947173230061,-0.6738953847389717,0.38303112658587357,0.10800533774611237,10,35,Bullhog; Seeding (primary),2005,N,461,WRI,"3929, 4087, 4269"
-1.657100935777029,-0.6519755725997959,0.596809831298428,0.19645836817506906,11,37,Bullhog,2005,Y,462,WRI,3737
-1.490898004963867,0.001705303605104614,0.7668452150801309,-0.6525945424014687,12,39,Harrow; Seeding (primary),2006,N,463,WRI,3728
-1.5786510224785666,-0.17194420962579668,0.7321720561202691,-0.17599182734751648,13,40,Prescribed fire; Seeding (primary),2006,N,464,WRI,3501
-1.548400118521282,-0.6466989501601174,0.3949037912346069,-1.0189559502261025,14,43,Seeding (primary),2006,N,465,WRI,3271
-1.6151617080607312,-0.5166569529695715,0.6471524378086658,-0.2619673533642546,15,52,Anchor chain; Seeding (primary); Seeding (secondary/shrub),2005,N,466,WRI,3358
-1.6544185416643005,-0.7359592096750125,0.4518757551215415,-0.593813949684764,16,66,Anchor chain; Herbicide application; Seeding (primary),2006,N,467,WRI,3727
-1.5484931468963623,-0.6095890402793884,0.5256164073944092,-0.4304109513759613,17,69,Anchor chain; Seeding (primary); Seeding (secondary/shrub),2005,N,468,WRI,3810
-1.5570264644412652,-0.4745730106002512,0.17416535547747816,-1.138491394011947,18,73,Vegetation removal / hand crew,2006,N,469,WRI,3364
-1.426599664263206,-0.3029938046589936,0.7716971504019433,-0.23459334248560093,19,81,Planting/Transplanting,2006,N,470,WRI,3579
-1.6193835437297817,-0.6875342428684234,0.7767807990312573,0.2959931567311286,20,85,Bullhog,2005,N,471,WRI,3422
-1.8658554939865375,-0.9754913165045611,0.5230901187038145,-0.4178719466304502,21,86,Anchor chain; Seeding (primary),2007,N,472,WRI,3694
-1.5907071216686348,-0.44938802685949875,0.8763414440359714,0.03494957965963027,22,93,Anchor chain; Seeding (primary); Seeding (secondary/shrub),2006,N,473,WRI,3363
-1.4407016213347272,-0.1638556662492636,0.6008954309835668,-0.2471633851528168,23,95,Seeding (primary),2006,N,474,WRI,3423
-1.6653851451360595,-0.7911866789976043,0.666093625616065,-0.4183422823657904,24,112,Vegetation removal / hand crew; Seeding (primary),2006,Y,475,WRI,"3368, 3578"
-1.3960582008095166,-0.3314793729468396,1.0892487955524732,-0.2032975851264047,25,114,Harrow; Seeding (primary),2006,N,476,WRI,3571
-1.440958857536316,-0.4046575427055359,0.8271232843399048,-0.31287670135498047,26,115,Harrow; Seeding (primary),2006,N,477,WRI,3572
-1.4654940488885662,-0.37404052864332676,0.1614922535162969,0.015797773318853778,27,118,Harrow; Seeding (primary),2006,N,478,WRI,3723
-1.4170889485450018,-0.49473188259298834,0.7754529366417537,-0.16537573530915237,28,121,Harrow; Seeding (primary),2007,N,479,WRI,3334
-1.3286190549625414,-0.4623884607767947,0.19688131116226174,-0.23488958569887639,29,125,Harrow; Seeding (primary),2005,N,480,WRI,3570
-1.6693392290788538,-0.6325060269411873,0.8044883012771606,-0.4186945943271413,30,145,Herbicide application; Seeding (primary),2005,N,481,WRI,3725
-1.4180855929647402,-0.4534362682894076,0.20547077288111185,-0.18607748266666715,31,146,Harrow; Seeding (primary),2006,N,482,WRI,3793
-1.6787820816645933,-0.44512680657633985,0.913629876764484,0.8754190753345418,32,155,Bullhog; Seeding (primary),2005,N,483,WRI,3367
-1.544067486914966,-0.4559034546241257,0.9017946093414478,0.7653938773435213,33,157,Bullhog; Seeding (primary),2005,N,484,WRI,3732
-1.8223286867141724,-0.16945205628871918,1.2556164264678955,0.7728767395019531,34,159,Harrow; Seeding (primary),2009,N,485,WRI,3796
-1.1928766965866089,-0.3127397298812866,0.9094520807266235,0.6152054667472839,35,166,Disc; Planting/Transplanting,2006,N,486,WRI,4083
